name,email,number
Jonas Petrauskas,jonas.petrauskasexample.com,37060345678
Laura Kazlauskaitė,laura.kazlauskaitė@example.com,37068712345
Andrius Vaitkus,andrius.vaitkus@example.com,37069dfghdfh898765
Ieva Kavaliauskaitė,ieva.kavaliauskaitė@example.com,37067234567
Tomas Žilinskas,tomas.žilinskas@example.com,37062098765
Giedre Jankauskaitė,giedre.jankauskaitė@example.com,dfh
Lukas Janavičius,lukas.janavičiusexample.com,37062845678
Rasa Šimkus,rasa.šimkus@example.com,dfg
Ignas Stankevičius,ignas.stankevičius@example.com,37067209876
Jolanta Jonaitienė,jolanta.jonaitienė@example.com,37064098765
